EPCAM
KRT5
KRT14
SFTPA2
SFTPB
SFTPC
SERPING1
SERPINA1
HHIP
LTF
MUC5AC
MUC5B
AGER
AQP5
ETV1
ETV4
ETV5
FOXA2
FOXP2
NGFR
RSPO1
RSPO2
RSPO3
RSPO4
SOX2
SOX6
SOX9
