SOX10,Sc,,
MPZ,Sc,,
MBP,Sc,,
NCMAP,Sc,,
NGFR,Sc,,
NCAM1,Sc,,
PDGFRA,EpC,EnC,
CD34,EpC,,
PCOLCE2,EpC,,
LY6C1,EpC,Ec1,Ec2
SLC2A1,EnC,Ec1,
ITGB4,PnC,,
SOX9,PnC,,
COL2A1,EnC,,
AEBP1,PNAF,,
C3,PNAF,,
GSN,PNAF,,
DPT,ECM,,
