Gene,GFPneg_Rep1,GFPpos_Rep1,GFPneg_Rep2,GFPpos_Rep2
MYH13,7,6,20,73
MYH14,59,254,20,10
MYH15,5,0,8,0
MYH3,6,44,23,23
MYH7,24,18,59,22
MYH7B,59,441,140,234
MYH8,8,0,1,10
MYL1,12,0,42,0
MYL10,0,0,0,0
MYL2,0,0,0,0
MYL3,22,72,48,74
MYL4,4,0,1,0
MYL5,0,0,0,0
MYL9,463,1453,194,547
MYLIP,1354,5298,827,2385
MYLK,1570,12457,270,9067
MYLK2,8,0,32,0
MYLK3,7,7,26,11
MYLPF,7,0,13,1
MYMK,8,3,2,8
MYNN,292,985,318,1182
MYO10,320,376,101,301
MYO18B,9,3,30,0
MYO19,102,404,152,235
MYO1A,0,10,2,0
MYO1B,743,3630,89,2640
MYO1C,576,4519,847,1699
MYO1D,123,615,34,310
MYO1E,487,893,292,572
MYO1F,2184,554,3121,502
MYO1G,1404,631,3381,513
MYO1H,18,83,29,48
MYO3B,3,3,13,0
MYO5A,895,3439,820,5839
MYO5C,9,7,8,12
MYO6,283,805,144,566
MYO7A,25,11,44,3
MYO7B,4,0,13,0
MYO9A,408,2043,351,1477
MYO9B,620,1009,858,557
MYOC,1053,871,434,5336
MYOCD,79,407,26,220
MYOD1,19,1,88,1
MYOF,307,2920,421,2559
MYOG,1,0,4,0
MYOM1,35,153,33,53
MYOM3,2,5,24,9
MYORG,213,1754,80,928
MYOT,0,0,7,0
MYOZ1,6,11,11,0
MYOZ2,8,17,11,0
MYOZ3,11,4,12,4
MYPN,9,0,53,0
MYPOP,0,10,1,2
MYRFL,15,13,0,3
MYRIP,24,21,83,5
MYSM1,306,1590,288,1226
MYT1,4,0,19,0
MYT1L,16,0,43,0
MZB1,544,82,1734,460
MZF1,79,438,126,174
MZT1,134,438,154,1035
N4BP1,471,858,426,933
N4BP2,169,630,290,500
N4BP2L1,150,558,235,396
N4BP3,153,358,130,269
N6AMT1,118,470,77,808
NAA10,319,1241,391,1321
NAA11,5,0,10,0
NAA15,290,1029,438,711
NAA16,133,480,250,348
NAA20,510,2581,487,5086
NAA25,248,772,432,714
NAA30,122,797,234,666
NAA35,209,635,167,543
NAA40,144,271,356,158
NAA50,782,2998,911,2270
NAA60,661,3591,697,1905
NAAA,413,828,914,702
NAALAD2,52,20,36,27
NAALADL1,56,85,69,46
NAALADL2,165,1449,18,1476
NAB1,173,865,175,536
NAB2,113,1141,82,498
NABP1,840,2176,622,1537
NACC1,10,20,34,6
NADK,691,471,630,234
NADK2,32,176,61,210
NADSYN1,130,270,283,146
NAF1,55,180,93,97
NAGA,556,2033,903,1364
NAGK,2001,2992,1812,4881
NAGLU,158,892,103,561
NAGPA,84,266,165,156
NAGS,3,0,2,0
NALCN,31,6,29,0
NAMPT,504,1041,558,909
NANOG,0,0,0,0
NANOS1,4,0,0,0
NANOS2,1,0,2,0
NANOS3,1,1,11,0
NANS,964,3214,1551,3564
NAP1L1,702,3238,1541,5619
NAP1L2,26,43,18,90
NAP1L4,634,2846,725,1353
NAP1L5,14,66,7,51
NAPA,163,751,227,374
NAPB,81,479,183,342
NAPEPLD,203,320,191,472
NAPG,185,964,256,959
NAPSA,126,61,282,70
NARF,195,1013,210,502
NARS1,902,3231,1039,3035
NARS2,57,294,141,230
NASP,384,1927,500,2834
NAT10,159,1072,340,806
NAT14,105,883,101,450
NAT8L,5,0,46,0
NAT9,351,809,634,965
NAV1,184,690,177,426
NAV2,119,986,76,798
NAV3,59,134,206,185
NAXD,421,2439,350,918
NAXE,323,1333,349,661
NBAS,142,1029,108,581
NBEA,73,980,75,581
NBEAL2,541,225,1059,180
NBN,392,1502,513,1954
