Gene,GFPneg_Rep1,GFPpos_Rep1,GFPneg_Rep2,GFPpos_Rep2
5S_rRNA,0,0,0,0
A1CF,3,0,30,0
A2M,41171,50746,2705,19949
A2ML1,6,23,4,20
A3GALT2,0,0,3,0
A4GALT,31,121,81,77
A4GNT,2,5,32,13
AAAS,160,312,355,650
AACS,38,181,118,187
AADAC,14,51,16,130
AADACL2,2,0,1,0
AADACL3,0,0,3,0
AADACL4,0,0,6,0
AADAT,3,0,0,0
AAGAB,267,1089,334,1805
AAK1,123,786,197,624
AAMP,309,1562,644,785
AANAT,2,0,16,2
AAR2,363,1602,432,1699
AARD,0,3,14,1
AARS1,846,3633,929,3047
AARS2,191,726,303,385
AASDH,242,758,392,632
AASDHPPT,152,868,272,1304
AASS,110,763,65,419
AATF,171,535,246,290
AATK,3,18,7,4
ABAT,35,92,41,52
ABCA1,453,2463,482,1431
ABCA12,5,0,19,0
ABCA3,97,550,110,465
ABCA4,13,117,9,94
ABCA5,70,348,56,224
ABCA6,125,1043,125,951
ABCA7,106,244,318,335
ABCA8,185,3797,40,2360
ABCA9,593,4186,275,2536
ABCB10,37,200,65,188
ABCB11,9,0,41,0
ABCB5,9,0,9,0
ABCB6,38,526,32,366
ABCB7,323,551,320,607
ABCB8,108,630,227,415
ABCB9,26,22,25,6
ABCC1,277,1212,415,729
ABCC10,230,1408,422,839
ABCC11,0,0,16,0
ABCC12,0,0,8,0
ABCC2,9,9,29,0
ABCC3,72,165,111,120
ABCC5,381,2770,265,1787
ABCC8,7,8,21,9
ABCC9,169,122,78,123
ABCD1,30,150,109,55
ABCD2,8,8,26,0
ABCD3,148,739,168,905
ABCD4,215,804,101,352
ABCE1,427,1534,526,1355
ABCF1,297,1287,364,1314
ABCF3,895,4186,1038,3989
ABCG1,160,81,113,5
ABCG2,113,816,79,403
ABCG4,164,608,347,518
ABCG5,12,20,3,27
ABCG8,22,0,42,0
ABHD1,15,17,12,31
ABHD10,54,340,75,643
ABHD11,251,1296,347,2949
ABHD12,321,964,243,523
ABHD12B,1,9,0,1
ABHD13,273,967,217,490
ABHD14A,122,1273,122,1043
ABHD15,241,1250,319,799
ABHD16A,391,2125,475,2068
ABHD16B,0,0,10,0
ABHD17A,592,2615,598,981
ABHD17B,183,521,123,253
ABHD17C,40,121,52,68
ABHD18,60,176,88,258
ABHD2,255,271,349,201
ABHD3,189,712,214,1079
ABHD4,140,761,157,999
ABHD5,188,250,278,186
ABHD6,128,102,317,274
ABHD8,34,594,41,213
ABI1,1167,2978,1793,4040
ABI2,161,1317,56,1081
ABI3BP,1339,5607,563,4138
ABL1,213,2321,166,1451
ABL2,92,563,150,372
ABLIM1,781,6592,1123,6153
ABLIM2,80,817,48,294
ABLIM3,288,700,149,242
ABR,311,2348,558,1492
ABRA,3,13,14,0
ABRACL,33,5,93,54
ABRAXAS1,52,300,82,338
ABRAXAS2,185,572,279,796
ABT1,150,584,251,497
ABTB1,272,1413,362,1289
ABTB2,136,690,65,335
ACAA1,594,1657,669,2254
ACAA2,209,1419,312,2878
ACACA,228,2125,185,1042
ACAD10,94,577,198,476
ACAD11,160,671,121,715
ACAD9,112,689,169,853
ACADL,278,1933,239,3259
ACADM,414,1306,537,2547
ACADS,693,3219,1080,3181
ACADSB,231,803,223,1338
ACADVL,878,2955,1394,3870
ACAN,1100,366,380,148
ACAP1,683,152,1507,139
ACAP2,565,2241,785,1522
ACAP3,46,1476,76,763
ACAT1,320,1455,509,2989
ACAT2,401,1864,474,1836
ACBD3,130,727,146,678
ACBD4,46,423,56,412
ACBD5,216,1605,180,1775
ACBD6,172,940,258,1543
ACBD7,8,2,17,4
ACCS,293,3234,147,2652
ACCSL,90,634,164,1069
ACD,183,555,213,624
ACE,122,141,89,95
ACE2,1,14,17,2
ACER1,6,10,30,0
ACER2,4,58,6,34
ACER3,95,286,129,298
ACHE,61,24,65,12
ACIN1,1104,4131,1308,2945
ACKR1,236,81,72,134
ACKR2,115,84,124,41
ACKR3,467,1025,230,335
ACKR4,49,150,26,230
ACLY,734,2251,1203,1240
ACMSD,0,0,1,1
ACO1,238,1361,258,548
ACO2,1454,5145,2035,4837
ACOD1,64,13,62,0
ACOT11,42,195,75,241
ACOT12,1,0,5,0
ACOT13,267,1078,479,1662
ACOT4,147,987,95,608
ACOT6,20,139,24,135
ACOT7,115,67,272,25
ACOT8,107,490,217,886
ACOT9,381,1281,363,1895
ACOX1,813,3696,689,4851
ACOX2,77,434,26,944
ACOX3,185,1170,146,324
ACOXL,6,0,11,1
ACP1,482,1898,797,4974
ACP2,276,1554,229,1649
ACP3,10,0,67,3
ACP4,55,283,92,622
ACP5,58,72,290,13
ACP6,179,891,230,1231
ACR,0,0,2,0
ACRBP,194,968,205,1562
ACRV1,0,0,2,0
ACSBG1,117,260,122,463
ACSBG2,5,0,13,0
ACSF2,880,5182,1147,3769
ACSF3,89,536,241,243
ACSL1,1801,599,949,356
ACSL3,282,2089,184,1309
ACSL4,3329,2014,3363,1113
ACSL5,758,1117,1239,1129
ACSM3,1,1,1,1
ACSM4,6,0,3,0
ACSM5,5,0,42,2
ACSS1,350,1420,518,573
ACSS2,112,397,269,445
ACSS3,266,1411,109,954
ACTA2,10412,16574,1709,34416
ACTB,16700,26089,29258,41537
ACTBL2,2,0,2,0
ACTC1,3,7,0,1
ACTG1,23510,89142,28530,46563
ACTG2,593,347,90,269
ACTL10,0,11,11,0
ACTL6A,273,753,313,1133
ACTL7A,3,0,17,0
ACTL7B,0,0,6,0
ACTL8,1,0,3,0
ACTL9,4,0,3,0
ACTN1,1407,9378,1350,3848
ACTN2,25,11,59,0
ACTN3,109,670,61,403
ACTR10,636,2241,578,4205
ACTR1A,961,4668,1317,2830
ACTR1B,236,1095,349,977
ACTR2,2110,4103,4101,3936
ACTR3,2921,3410,5356,4264
ACTR5,98,457,138,322
ACTR6,134,490,196,1315
ACTR8,473,2166,556,3768
ACTRT1,0,0,0,0
ACTRT2,1,0,30,0
ACTRT3,6,11,26,14
ACVR1,140,1002,48,1059
ACVR1B,48,242,106,183
ACVR1C,2,0,5,0
ACVR2A,142,1926,63,1754
ACVR2B,18,28,45,22
ACVRL1,134,794,219,637
ADA,169,745,124,713
ADA2,563,220,1243,314
ADAD1,0,0,2,0
ADAD2,0,0,5,0
ADAL,59,237,85,447
ADAM10,601,1184,886,1032
ADAM11,9,8,37,15
ADAM12,14,1267,67,1142
ADAM15,753,1233,627,566
ADAM17,546,1208,399,909
ADAM18,0,4,0,12
ADAM19,926,1977,2052,1427
ADAM2,0,0,0,0
ADAM20,1,0,7,0
ADAM21,1,0,2,0
ADAM22,26,196,75,177
ADAM23,11,217,20,388
ADAM28,206,53,268,126
ADAM30,7,0,6,0
ADAM32,0,8,0,0
ADAM33,204,5786,87,2898
ADAM3A,0,11,0,66
ADAM7,10,3,34,3
ADAM8,436,112,860,72
ADAM9,762,1545,330,1070
ADAMDEC1,3,3,51,2
ADAMTS1,759,2293,142,1064
ADAMTS10,134,732,69,324
ADAMTS12,381,1409,165,1537
ADAMTS13,4,9,34,1
ADAMTS14,51,456,36,214
ADAMTS15,240,1190,125,658
ADAMTS16,14,39,15,3
ADAMTS17,108,3156,26,2732
ADAMTS18,21,7,43,1
ADAMTS19,42,62,13,62
ADAMTS2,404,14960,146,10729
ADAMTS20,49,149,87,43
ADAMTS3,122,571,46,375
ADAMTS4,90,144,34,110
ADAMTS5,118,929,102,640
ADAMTS6,220,1130,170,667
ADAMTS7,175,1484,18,677
ADAMTS8,121,1851,28,1135
ADAMTS9,163,1293,37,688
ADAMTSL1,161,228,67,228
ADAMTSL2,135,646,62,237
ADAMTSL3,511,7152,182,3951
ADAMTSL4,534,1734,671,989
ADAMTSL5,154,3513,95,2566
ADAP1,55,219,83,117
ADAP2,191,178,201,207
ADAR,605,2317,338,419
ADARB1,89,971,40,363
ADARB2,4,6,19,0
ADAT1,40,180,107,324
ADAT2,46,155,108,294
ADAT3,18,107,118,22
ADCK1,14,73,28,62
ADCK2,54,257,65,263
ADCK5,293,1232,490,660
ADCY1,5,0,37,4
ADCY10,6,12,10,5
ADCY2,21,222,16,95
ADCY3,97,850,193,861
ADCY4,322,336,301,421
ADCY5,62,390,58,257
ADCY6,72,407,18,175
ADCY7,1147,9832,1388,6305
ADCY8,41,201,19,55
ADCY9,175,1105,143,714
ADCYAP1,5,0,16,1
ADCYAP1R1,205,2590,75,1689
ADD1,319,1758,392,1341
ADD2,3,0,4,0
ADD3,1155,7677,1942,7662
ADGRA1,2,0,58,0
ADGRA2,184,3854,133,3782
ADGRA3,111,416,49,304
ADGRB1,1,16,16,0
ADGRB2,45,648,57,395
ADGRB3,7,12,4,1
ADGRD1,693,3999,154,2862
ADGRD2,0,0,0,0
ADGRE3,105,47,714,181
ADGRE5,4357,4175,8894,4881
ADGRF1,0,4,3,0
ADGRF3,9,45,29,11
ADGRF4,25,6,58,7
ADGRF5,191,124,75,52
ADGRG1,731,285,2004,287
ADGRG2,12,6,16,11
ADGRG3,368,97,248,13
ADGRG5,220,69,755,80
ADGRG6,310,117,104,133
ADGRG7,5,1,9,0
ADGRL1,49,504,75,316
ADGRL2,521,2120,317,1854
ADGRL3,33,171,18,162
ADGRL4,128,43,76,79
ADGRV1,37,59,48,135
ADH4,8,0,24,0
ADH5,640,2392,793,4990
ADI1,434,3029,301,1235
ADIPOQ,13,2,30,0
ADIPOR2,124,560,156,430
ADIRF,129,327,50,159
ADK,188,361,265,632
ADM,518,3731,113,1276
ADNP,380,1423,400,1283
ADNP2,96,430,99,590
ADO,71,415,23,134
ADORA1,9,61,28,139
ADORA2A,277,79,141,26
ADORA2B,82,634,89,533
ADORA3,257,53,266,30
ADPGK,367,1713,501,774
ADPRH,137,467,134,392
ADPRM,78,482,105,722
ADPRS,263,1122,194,461
ADRA1A,612,764,93,332
ADRA1B,1,11,12,0
ADRA1D,2,0,3,0
ADRA2A,14,61,3,27
ADRA2B,14,6,41,2
ADRA2C,1,0,13,0
ADRB1,4,5,0,0
ADRB2,107,120,85,10
ADRM1,176,982,262,278
ADSL,238,1079,421,1323
ADSS2,189,448,301,321
ADTRP,6,0,17,0
AEBP1,310,3549,122,2627
AEBP2,183,812,308,644
AEN,228,919,267,574
AFAP1,217,2240,77,1079
AFAP1L1,61,167,76,121
AFDN,185,691,73,444
AFF1,264,784,224,434
AFF2,19,9,19,83
AFF4,908,3092,437,1306
AFG1L,50,133,104,220
AFM,0,0,2,0
AFMID,134,353,491,313
AFP,0,0,0,0
AFTPH,425,723,610,735
AGA,341,1780,242,2915
AGAP1,25,141,40,184
AGAP2,33,8,102,4
AGAP3,95,906,59,399
AGBL2,87,373,80,504
AGBL5,96,193,126,283
AGER,731,2283,127,262
AGFG1,97,196,123,180
AGFG2,129,374,354,206
AGK,189,776,329,973
AGL,134,592,197,650
AGMAT,0,0,18,0
AGMO,38,4,62,0
AGO1,379,1884,534,1402
AGO2,220,818,285,622
AGO4,182,600,320,355
AGPAT1,51,389,70,230
AGPAT3,62,260,91,263
AGPAT4,113,640,220,512
AGPAT5,141,571,162,531
AGPS,193,598,244,685
AGR2,16,1,51,76
AGRN,782,5071,138,598
AGRP,0,1,3,0
AGT,11738,45377,279,33649
AGTPBP1,63,158,105,140
AGTR1,757,2255,113,2086
AGTR2,0,0,0,0
AGXT,0,3,0,0
AGXT2,7,9,27,0
AHCTF1,603,1952,630,1156
AHCY,360,532,677,520
AHCYL1,146,1023,168,1187
AHCYL2,115,472,222,363
AHI1,184,654,299,561
AHR,290,280,474,256
AHRR,61,133,119,67
AHSA1,696,2575,775,3351
AHSG,0,0,10,1
AHSP,6,0,1,0
AICDA,78,11,69,17
AIDA,421,2641,431,1380
AIF1,831,404,1280,930
AIF1L,25,18,17,41
AIFM1,194,669,297,686
AIFM2,124,541,195,807
AIFM3,12,13,3,11
AIG1,92,1261,84,2087
AIMP1,401,1483,588,3018
AIMP2,142,424,192,532
AIP,456,1733,893,2859
AIPL1,20,8,26,9
AIRE,0,0,0,0
AJAP1,3,0,20,0
AJUBA,111,645,79,358
AK1,153,680,32,1292
AK3,370,1077,488,915
AK4,182,1167,56,1405
AK5,3,0,41,6
AK6,94,413,139,1275
AK7,27,57,21,42
AK8,31,46,22,76
AKAP1,34,197,39,87
AKAP10,316,831,344,424
AKAP11,200,860,281,821
AKAP12,885,5283,300,3133
AKAP3,58,277,138,476
AKAP4,5,0,6,0
AKAP5,38,167,74,187
AKAP6,55,405,86,375
AKAP7,119,215,138,127
AKAP8,308,1354,619,1313
AKAP8L,543,2144,574,1264
AKAP9,807,3958,1088,5952
AKIP1,109,439,196,599
AKIRIN1,350,909,384,363
AKNA,529,704,1587,490
AKR1A1,627,2437,1123,5990
AKR1B1,273,1083,379,1938
AKR1C2,75,72,167,181
AKR1D1,4,7,10,6
AKR1E2,19,79,16,30
AKR7A2,224,1254,369,685
AKT1S1,13,80,29,71
AKT2,137,1099,199,947
AKT3,137,646,215,685
AKTIP,195,995,94,1370
ALAD,134,457,239,1014
ALAS1,394,946,276,917
ALAS2,2,0,10,0
ALB,1,4,16,0
ALCAM,309,369,376,287
ALDH16A1,476,1023,698,551
ALDH18A1,464,3048,493,2087
ALDH1A1,264,2544,111,3234
ALDH1A2,50,40,40,13
ALDH1A3,358,527,178,392
ALDH1B1,93,404,83,489
ALDH1L1,15,9,37,4
ALDH1L2,312,2431,228,1941
ALDH2,2012,12998,741,8864
ALDH3A1,50,93,11,5
ALDH3A2,511,5379,375,2921
ALDH3B2,2,1,2,3
ALDH4A1,220,389,384,315
ALDH5A1,78,523,59,401
ALDH6A1,296,1437,111,1105
ALDH7A1,492,2814,258,2719
ALDH8A1,7,0,35,0
ALDOA,1675,3482,3626,2029
ALDOB,7,3,22,7
ALDOC,279,763,530,922
ALG11,144,635,81,814
ALG12,267,1046,297,672
ALG14,33,305,94,475
ALG2,125,666,74,320
ALG3,187,793,244,359
ALG5,219,907,245,2109
ALG6,56,225,103,325
ALG8,95,274,267,612
ALKAL1,3,2,13,2
ALKAL2,6,1,0,2
ALKBH1,151,708,310,738
ALKBH2,31,235,35,258
ALKBH4,117,475,79,192
ALKBH5,76,459,132,432
ALKBH6,78,353,144,169
ALKBH7,242,703,316,1326
ALKBH8,51,170,65,332
ALMS1,122,790,193,568
ALOX12B,2,0,5,1
ALOX15,39,180,50,103
ALOX15B,3,1,32,0
ALOX5,384,217,499,330
ALOX5AP,3289,918,1263,861
ALOXE3,3,0,13,0
ALPK1,131,298,150,207
ALPK2,23,13,76,6
ALPL,67,124,19,101
ALS2,97,243,137,245
ALS2CL,391,1346,162,474
ALX1,2,0,22,0
ALX3,9,0,18,0
ALX4,5,0,14,0
ALYREF,34,107,59,173
AMBN,8,1,58,89
AMBP,4,4,17,0
AMBRA1,250,730,236,325
AMCF-II,5,6,4,0
AMD1,466,1508,837,1177
AMDHD1,9,19,3,16
AMELY,0,0,0,0
AMER1,52,508,69,291
AMER2,3,2,4,0
AMER3,5,0,40,0
AMFR,87,768,61,584
AMH,137,751,307,251
AMIGO1,31,257,97,237
AMIGO2,35,136,28,201
AMIGO3,119,431,200,311
AMMECR1,43,227,119,178
AMMECR1L,324,1308,216,877
AMN1,154,775,129,1829
AMOT,77,588,77,587
AMOTL1,336,1385,92,721
AMOTL2,637,4226,220,1674
AMPD1,0,6,9,7
AMPD2,1290,2252,1098,1156
AMPD3,135,2830,255,1472
AMPH,12,5,35,6
AMTN,0,0,0,0
AMZ1,10,24,11,8
AMZ2,195,764,366,1184
ANAPC1,332,1045,513,682
ANAPC13,78,404,134,1051
ANAPC15,91,434,164,843
ANAPC16,0,0,0,0
ANAPC4,62,291,122,244
ANAPC5,220,960,387,1709
ANAPC7,368,1751,504,2009
ANGEL1,139,899,165,653
ANGEL2,271,1245,390,1318
ANGPT1,219,1544,50,2345
ANGPT2,103,29,158,58
ANGPT4,236,9307,95,4732
ANGPTL1,448,2767,86,1876
ANGPTL2,314,1784,118,1114
ANGPTL3,9,17,42,10
ANGPTL4,786,4318,526,2615
ANGPTL5,12,14,0,0
ANGPTL6,7,66,11,42
ANGPTL7,15,22,18,5
ANGPTL8,1,5,7,0
ANK1,15,5,68,18
ANKAR,22,80,27,147
ANKDD1A,12,72,35,116
ANKDD1B,8,33,19,54
ANKEF1,30,28,45,12
ANKFN1,18,2,66,4
ANKFY1,1152,3923,1155,2782
ANKH,221,489,89,308
ANKHD1,778,2582,898,2046
ANKIB1,260,1198,190,785
ANKLE1,6,8,64,13
ANKLE2,327,2063,232,740
ANKMY2,522,2145,462,3374
ANKRA2,178,373,197,993
ANKRD1,15,21,41,20
ANKRD10,591,2156,791,1121
ANKRD11,149,554,222,371
ANKRD12,740,3277,913,2323
ANKRD13A,420,1547,431,1033
ANKRD13B,10,47,9,35
ANKRD13C,150,733,147,910
ANKRD13D,72,477,83,263
ANKRD16,39,337,71,170
ANKRD17,425,1932,463,1769
ANKRD2,29,160,58,154
ANKRD22,139,37,53,37
ANKRD23,16,209,21,139
ANKRD24,33,54,17,13
ANKRD27,601,2505,916,1905
ANKRD28,177,668,247,717
ANKRD29,74,641,41,603
ANKRD31,3,0,7,6
ANKRD33B,190,420,282,280
ANKRD34A,15,112,91,40
ANKRD34B,5,0,6,1
ANKRD34C,11,0,29,0
ANKRD35,55,334,42,248
ANKRD37,48,200,137,352
ANKRD39,167,993,253,618
ANKRD40,134,748,112,620
ANKRD40CL,0,0,0,0
ANKRD42,178,559,175,540
ANKRD44,806,6658,1273,4420
ANKRD46,287,1517,134,1314
ANKRD49,146,410,156,705
ANKRD50,305,2375,99,1465
ANKRD53,34,314,78,291
ANKRD54,83,370,81,236
ANKRD55,1,0,3,1
ANKRD6,44,126,38,64
ANKRD60,1,0,7,0
ANKRD61,1,14,14,3
ANKRD66,28,58,14,17
ANKS1A,272,645,314,512
ANKS1B,12,34,4,1
ANKS3,222,1374,155,792
ANKS4B,17,1,42,0
ANKS6,27,591,25,385
ANKUB1,9,0,37,0
ANKZF1,70,506,169,449
ANLN,116,877,118,1376
ANO1,39,230,27,237
ANO10,418,1328,325,998
ANO3,23,19,22,15
ANO4,11,290,13,118
ANO5,4,0,13,0
ANO6,705,2657,597,1833
ANO8,276,607,355,499
ANO9,6,4,75,3
ANP32E,643,1095,1354,1664
ANPEP,152,820,322,857
ANTKMT,249,1158,309,795
ANTXR1,520,6881,218,8011
ANTXR2,513,5108,358,3647
ANXA1,7387,15766,8139,33766
ANXA10,0,0,0,0
ANXA11,1267,4659,1358,3613
ANXA13,22,91,20,359
ANXA2,6874,20537,6971,41433
ANXA4,786,3081,371,6392
ANXA5,4313,19361,2215,37289
ANXA6,1484,6567,3006,6937
ANXA7,908,3417,852,4523
ANXA9,124,659,208,654
AOAH,216,326,287,255
AOC1,7,1,92,0
AOC2,7,16,15,16
AOPEP,498,3735,263,2060
AOX1,253,610,64,494
AP1AR,114,391,159,188
AP1B1,333,986,903,651
AP1G1,473,2294,642,1972
AP1G2,145,631,297,366
AP1M1,496,1927,844,1850
AP1M2,22,46,13,54
AP1S1,213,559,284,607
AP1S2,85,108,183,150
AP1S3,70,39,105,55
AP2A1,146,556,178,296
AP2A2,487,2736,521,1136
AP2B1,965,6466,912,4772
AP2M1,1522,6792,1902,6485
AP2S1,208,646,399,606
AP3B1,640,2243,812,2258
AP3B2,10,187,2,291
AP3D1,377,2143,599,1716
AP3M1,734,2055,725,1968
AP3M2,11,127,27,110
AP3S2,208,658,308,895
AP4B1,237,444,235,449
AP4E1,160,671,207,424
AP4M1,225,940,294,1155
AP4S1,147,644,203,715
AP5B1,324,1539,291,540
AP5M1,372,866,341,1041
AP5S1,122,575,101,595
AP5Z1,371,1410,538,647
APAF1,180,649,350,461
APBA1,45,260,122,115
APBA2,6,9,20,9
APBA3,137,919,290,615
APBB1,261,2109,163,863
APBB1IP,434,75,552,46
APBB2,593,1695,191,1158
APBB3,531,3101,656,3896
APC,454,1811,661,1690
APC2,20,113,70,114
APCDD1,18,226,29,301
APCDD1L,1,0,18,0
APCS,14,0,45,0
APEH,331,1337,438,1229
APEX1,214,649,449,1838
APEX2,82,268,102,279
APH1A,640,2105,781,2698
APH1B,301,1614,239,1477
API5,800,2782,1218,3260
APIP,114,624,259,1394
APLF,267,1896,279,2753
APLN,10,68,23,39
APLP1,108,3199,18,1649
APLP2,799,4229,309,3916
APMAP,364,783,615,549
APOA1,669,496,233,308
APOA2,25,0,65,0
APOA4,0,0,2,0
APOB,8,6,25,0
APOBEC1,8,25,19,0
APOBEC2,84,331,283,749
APOBEC3B,130,323,354,650
APOBEC4,23,19,40,22
APOD,14,252,22,279
APOE,1314,3627,247,1446
APOF,5,8,22,37
APOH,0,0,3,1
APOLD1,29,6,64,9
APOM,7,18,11,13
APOO,93,286,161,936
APOOL,106,482,263,1138
APP,5939,30546,1200,17398
APPBP2,350,1996,333,1314
APPL1,253,1493,344,1383
APPL2,328,2097,357,2364
APRT,194,801,155,1255
APTX,63,168,167,345
AQP10,1,5,2,5
AQP11,29,67,68,121
AQP2,1,0,5,0
AQP3,1164,4964,2605,4213
AQP4,26,18,45,45
AQP5,56,156,7,6
AQP6,5,0,5,0
AQP8,8,0,34,0
AQP9,20,4,75,0
AQR,296,1029,354,942
AR,37,60,91,37
ARAF,550,1939,854,1358
ARAP1,305,1850,448,1131
ARAP2,180,62,316,53
ARAP3,416,149,558,71
ARC,8,19,30,1
ARCN1,1586,7831,1351,7060
AREG,47,0,164,15
AREL1,196,998,403,498
ARF1,4460,14906,5700,25687
ARF4,3566,11614,3927,22175
ARF5,107,731,97,716
ARF6,1917,3100,2635,1584
ARFGAP2,520,2343,713,1758
ARFGAP3,586,2856,843,3543
ARFGEF1,355,1251,512,1036
ARFGEF2,163,400,171,610
ARFGEF3,76,997,25,447
ARFIP1,407,1573,398,2620
ARFRP1,69,416,70,131
ARG1,62,100,75,325
ARG2,303,87,116,95
ARGLU1,688,3242,656,2342
ARHGAP1,1084,4765,1370,3984
ARHGAP10,68,359,24,190
ARHGAP12,150,988,142,452
ARHGAP15,1187,187,1549,500
ARHGAP18,276,154,554,229
ARHGAP20,85,726,19,449
ARHGAP21,359,3934,254,2570
ARHGAP22,252,955,267,933
ARHGAP23,24,121,21,40
ARHGAP24,369,389,234,376
ARHGAP25,946,267,2083,387
ARHGAP26,117,146,249,110
ARHGAP27,560,142,883,114
ARHGAP28,182,2254,83,1782
ARHGAP29,209,634,103,496
ARHGAP30,2055,447,3741,506
ARHGAP31,414,1564,427,1021
ARHGAP32,128,626,156,499
ARHGAP33,29,148,57,157
ARHGAP35,266,1733,297,1045
ARHGAP39,17,30,38,14
ARHGAP4,319,123,785,58
ARHGAP42,46,521,7,317
ARHGAP44,16,88,29,80
ARHGAP45,1172,411,3053,316
ARHGAP5,414,1957,140,2242
ARHGAP6,111,486,80,313
ARHGAP9,780,257,1289,160
ARHGDIA,389,1360,964,863
ARHGDIB,2542,749,8080,1045
ARHGDIG,0,1,0,2
ARHGEF1,361,938,1070,509
ARHGEF10L,169,730,510,700
ARHGEF11,506,2309,418,1646
ARHGEF12,182,1480,104,652
ARHGEF15,91,34,47,19
ARHGEF16,109,43,169,34
ARHGEF18,431,1045,1141,730
ARHGEF19,65,249,45,176
ARHGEF2,1052,4491,1399,1828
ARHGEF26,209,1067,96,1117
ARHGEF28,36,91,24,69
ARHGEF3,397,745,782,626
ARHGEF33,26,80,74,36
ARHGEF37,26,54,41,111
ARHGEF38,15,38,16,43
ARHGEF39,155,886,466,987
ARHGEF5,32,18,57,2
ARHGEF6,508,2723,1161,2353
ARHGEF7,276,1548,446,720
ARID1A,656,2104,1376,1508
ARID1B,192,1151,340,1304
ARID2,248,1264,326,795
ARID3A,89,49,96,45
ARID3B,191,357,289,122
ARID3C,0,0,10,0
ARID4A,407,1264,911,1547
ARID4B,1078,2750,1075,4205
ARID5A,1538,1476,839,439
ARID5B,1103,2987,911,2701
ARIH2,748,2426,852,1535
ARL1,488,3432,369,5585
ARL10,46,854,102,543
ARL11,48,19,66,44
ARL13A,0,0,4,0
ARL13B,188,1005,73,1762
ARL14,1,2,0,9
ARL14EP,284,1096,211,1498
ARL14EPL,6,9,16,0
ARL15,138,304,113,367
ARL3,120,1339,92,2390
ARL4A,482,2925,225,6263
ARL4C,73,30,207,68
ARL4D,103,103,88,102
ARL5A,306,1574,336,1644
ARL5B,769,719,900,522
ARL6,50,375,47,839
ARL6IP1,1956,6202,2463,10831
ARL6IP4,160,909,313,1579
ARL6IP5,738,4091,823,11715
ARL6IP6,105,207,99,412
ARL8A,11,45,21,31
ARL8B,412,1317,584,893
ARL9,21,74,28,167
ARMC1,241,1051,345,1739
ARMC10,711,3734,533,2775
ARMC12,33,7,79,24
ARMC2,45,145,133,189
ARMC3,14,56,5,33
ARMC5,32,100,45,83
ARMC6,65,261,200,345
ARMC7,174,363,342,388
ARMC8,274,973,271,1169
ARMC9,61,482,52,355
ARMCX1,153,963,20,1413
ARMCX2,37,553,40,778
ARMCX3,386,1926,342,2385
ARMCX4,42,444,72,501
ARMCX5,201,1258,124,1374
ARMCX6,21,159,24,284
ARMH1,31,47,75,97
ARMH2,0,0,18,0
ARMH3,225,805,329,545
ARMH4,235,2055,68,980
ARMT1,77,307,142,507
ARNT,564,3719,404,7784
ARNT2,20,241,21,324
ARNTL,126,382,163,245
ARNTL2,10,8,34,73
ARPC1A,582,1637,673,2690
ARPC1B,4472,5173,8606,2363
ARPC2,2460,3674,4176,2099
ARPC3,1901,3140,3505,6524
ARPC4,1062,2344,2176,2494
ARPC5,1808,4680,3637,9356
ARPC5L,441,651,1045,978
ARPP21,44,29,47,0
ARR3,0,0,4,0
ARRB1,372,923,428,530
ARRB2,339,276,846,202
ARRDC2,203,384,459,280
ARRDC3,2127,6477,1772,4742
ARRDC4,629,1017,494,253
ARRDC5,6,2,21,8
ARSA,385,1238,364,1079
ARSB,225,4579,204,1955
ARSG,30,64,83,76
ARSI,13,63,29,26
ARSJ,102,567,29,641
ARSK,135,920,69,1407
ARSL,144,1110,55,717
ART1,0,0,3,0
ART3,7,24,9,15
ART4,63,21,115,67
ARTN,0,0,0,0
ARV1,189,794,131,1504
ARVCF,38,306,71,128
ARX,6,8,20,1
AS3MT,14,183,50,449
ASAH1,394,2446,587,6764
ASAP1,225,548,482,616
ASAP2,104,583,125,575
ASAP3,1154,2855,564,1909
ASB1,83,522,182,610
ASB10,2,1,33,0
ASB11,4,29,7,8
ASB12,0,0,10,0
ASB13,69,212,134,131
ASB14,3,9,16,11
ASB15,14,3,33,7
ASB16,5,0,41,0
ASB17,0,0,1,0
ASB18,3,0,11,0
ASB2,48,11,92,5
ASB3,115,540,143,483
ASB4,0,0,9,41
ASB5,8,5,27,10
ASB6,125,963,182,533
ASB7,58,437,135,187
ASB8,109,452,95,648
ASB9,49,68,87,195
ASCC1,237,910,316,1538
ASCC2,199,757,305,831
ASCC3,281,856,347,747
ASCL2,0,0,3,0
ASCL4,0,0,0,0
ASCL5,0,0,0,0
ASDURF,60,566,48,782
ASF1A,197,578,186,621
ASF1B,196,323,667,947
ASGR1,3,1,13,0
ASGR2,10,6,22,4
ASH1L,948,4799,867,5128
ASH2L,210,827,451,1068
ASIC1,8,24,12,27
ASIC2,1,1,9,0
ASIC3,67,383,111,293
ASIC4,1,8,15,0
ASIC5,2,0,2,0
ASNS,142,298,189,391
ASPA,15,115,44,281
ASPDH,188,931,249,450
ASPH,570,5437,231,4250
ASPHD2,28,126,71,40
ASPM,99,455,364,595
ASPN,432,10718,197,17787
ASPRV1,20,60,14,33
ASPSCR1,37,246,51,184
ASRGL1,715,914,242,1189
ASS1,27,19,46,64
ASTE1,74,291,122,312
ASTL,0,0,0,0
ASTN1,52,834,71,1204
ASTN2,2,3,8,0
